state,level_1,level_2,level_3,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Amapá,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"6,525326788","41,83357863","41,83357863","41,83357863","53,27524817","53,27524817","53,27524817","54,16912909","54,16912909","54,16912909","54,16912909","54,16912909","55,06296511","65,16334525","72,49283116","80,26924236","85,63228596","90,10145685","147,9350772","219,0871728","438,0861772","564,9287371","1005,347484","1276,020665","1382,662258","1480,721574","1570,645778","1720,816808","1912,106263","2088,46853","2199,845969","2463,00404","2581,076777","2659,827377","2713,639428","2679,492895","2607,088388"
Amapá,2. Industrial,2.2 Metálicas,2.2.07 Cromo,"32,54013331","32,54013331","70,17584458","70,17584458","204,4486586","204,4486586","204,4486586","204,4486586","204,4486586","204,4486586","204,4486586","204,4486586","184,9603284","236,3630264","242,6207566","265,863719","268,2774084","280,6140567","279,5413043","282,7595595","290,4476156","320,931648","330,4076259","397,9016075","411,4898015","425,8825577","431,4251078","434,8221555","449,3043087","446,980017","461,1045788","488,9067305","486,9400191","491,7674039","491,7674039","492,3037797","466,8259255"
Amapá,2. Industrial,2.2 Metálicas,2.2.09 Alumínio,"83,75541694","94,39245218","100,560147","107,7110928","108,5155748","113,4318584","112,8955374","118,5269122","125,6778687","156,8739063","154,7286176","155,8906465","176,8965731","191,6454183","190,751555","200,8522678","210,4166698","219,1765886","224,1822651","231,0650605","231,869531","234,7299073","250,6407863","247,2440839","252,428526","264,9426952","271,7361035","288,0939231","288,0045368","297,6583292","300,339939","302,7533843","304,6305069","304,8986697","305,8819258","307,3121147","305,3456017"
Amapá,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"651,6662218","667,3097371","718,0844679","818,3991095","956,7819339","956,7819339","956,7819339","1233,53492","1233,53492","1233,53492","1233,53492","1233,53492","1177,433251","1254,704572","1179,40094","1194,588881","1201,558278","1202,00733","1225,777044","1236,770602","1227,036048","1251,162093","1255,629193","1294,778316","1325,972564","1350,55466","1399,172959","1426,873912","1435,09913","1483,795921","1528,217415","1654,310613","1654,756847","1708,29413","1718,219978","1722,507634","1685,429739"
Amapá,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"19,57662813","24,76130552","25,02947868","25,02947868","35,04127397","35,04127397","35,04127397","37,18665952","60,96466687","60,96466687","60,96466687","60,96466687","60,8752758","69,36742058","74,99905378","76,6974832","77,68078519","79,20043147","83,40180974","86,17293331","90,19553541","91,53640189","92,51970335","93,05604979","95,91656253","96,09534423","96,81047286","97,97255613","97,525601","98,95585695","101,2800246","126,3989135","126,3989135","130,2427276","129,9745542","130,0639453","128,72308"
Amapá,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"294,4919174","294,4919174","294,9388701","636,6793231","636,6793231","636,6793231","636,6793231","779,7783447","779,7783447","779,7783447","779,7783447","779,7783447","757,627209","787,3708664","763,433275","771,0253756","778,7962109","779,8681691","787,9069305","783,4409473","782,1904264","784,6913621","790,9460164","789,7849906","793,8936849","795,5907088","794,4298886","805,0633153","818,8256805","848,671888","848,0465677","851,6217154","853,0508972","851,5322044","851,174881","855,5515669","854,7475301"
Amapá,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"7,59830163","10,19066428","11,17397382","10,72701495","18,77238557","17,0739283","21,45414301","21,45414357","27,80096014","51,04284432","54,6185093","62,75311354","66,95452645","74,28466122","73,21192532","87,78284464","96,18569535","101,9067846","103,3370411","112,9913899","127,741103","141,5969472","153,0391128","155,8102452","161,7994945","171,2750584","179,9462203","185,0416135","179,2310751","181,018915","180,7507346","184,3264202","193,4444302","203,635272","214,1836974","210,2503846","208,0155742"
Amazonas,2. Industrial,2.2 Metálicas,2.2.13 Estanho,"2146,610397","2425,32858","2520,438922","2872,724329","3376,259365","3754,827013","3740,79252","3875,414006","3923,14775","4155,115564","4254,696494","4432,227363","4763,329763","5126,079909","4970,09437","6285,386328","6682,011771","6597,626559","6659,662981","6784,630229","6586,810112","6737,522816","6666,546808","6732,963643","6817,6166","6600,219755","6737,881168","6937,579275","7138,796587","7098,750067","7428,689371","7579,759441","7455,059578","7595,134714","7428,958418","7498,950892","7457,831695"
Amazonas,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"46,55513052","71,55240535","75,21595773","78,34337518","82,54258077","86,02772775","95,58903975","95,67830938","95,32078293","97,19734692","98,89528582","105,7757322","110,5117301","123,9151935","135,880733","151,3380841","154,0178452","160,9861219","175,3618354","180,3652715","188,2272413","188,4056286","196,4422423","218,6883705","226,1026502","234,1439763","239,8622274","250,2276203","263,0051682","272,1192916","295,5305536","287,7567704","298,5691727","309,0237711","307,9514947","312,4194758","307,5048876"
Amazonas,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,,"63,0858083","167,0093887","232,1520243","262,6233136","271,6485906","274,5974907","320,2602157","318,4730248","323,1198014","329,553601","328,8387142","344,029455","336,3445704","327,9448283","345,9058067","341,0804076","338,5783331","346,7993634","349,5694153","355,1989684","359,2200853","348,0503588","348,9439234","358,8626635","360,5604331","364,6708783","393,1763296","389,6913083","408,009833","399,5207085","397,6442001","401,307833","405,2397125","403,1844795","403,1844294","401,3079461"
