state,level_1,level_2,level_3,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Amapá,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"219,0871728","438,0861772","564,9287371","1005,347484","1276,020665","1382,662258","1480,721574","1570,645778","1720,816808","1912,106263","2088,46853","2199,845969","2463,00404","2581,076777","2659,827377","2713,639428","2679,492895","2607,088388"
Amapá,2. Industrial,2.2 Metálicas,2.2.07 Cromo,"282,7595595","290,4476156","320,931648","330,4076259","397,9016075","411,4898015","425,8825577","431,4251078","434,8221555","449,3043087","446,980017","461,1045788","488,9067305","486,9400191","491,7674039","491,7674039","492,3037797","466,8259255"
Amapá,2. Industrial,2.2 Metálicas,2.2.09 Alumínio,"231,0650605","231,869531","234,7299073","250,6407863","247,2440839","252,428526","264,9426952","271,7361035","288,0939231","288,0045368","297,6583292","300,339939","302,7533843","304,6305069","304,8986697","305,8819258","307,3121147","305,3456017"
Amapá,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"1236,770602","1227,036048","1251,162093","1255,629193","1294,778316","1325,972564","1350,55466","1399,172959","1426,873912","1435,09913","1483,795921","1528,217415","1654,310613","1654,756847","1708,29413","1718,219978","1722,507634","1685,429739"
Amapá,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"86,17293331","90,19553541","91,53640189","92,51970335","93,05604979","95,91656253","96,09534423","96,81047286","97,97255613","97,525601","98,95585695","101,2800246","126,3989135","126,3989135","130,2427276","129,9745542","130,0639453","128,72308"
Amapá,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"783,4409473","782,1904264","784,6913621","790,9460164","789,7849906","793,8936849","795,5907088","794,4298886","805,0633153","818,8256805","848,671888","848,0465677","851,6217154","853,0508972","851,5322044","851,174881","855,5515669","854,7475301"
Amapá,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"112,9913899","127,741103","141,5969472","153,0391128","155,8102452","161,7994945","171,2750584","179,9462203","185,0416135","179,2310751","181,018915","180,7507346","184,3264202","193,4444302","203,635272","214,1836974","210,2503846","208,0155742"
Amazonas,2. Industrial,2.2 Metálicas,2.2.13 Estanho,"6784,630229","6586,810112","6737,522816","6666,546808","6732,963643","6817,6166","6600,219755","6737,881168","6937,579275","7138,796587","7098,750067","7428,689371","7579,759441","7455,059578","7595,134714","7428,958418","7498,950892","7457,831695"
Amazonas,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"180,3652715","188,2272413","188,4056286","196,4422423","218,6883705","226,1026502","234,1439763","239,8622274","250,2276203","263,0051682","272,1192916","295,5305536","287,7567704","298,5691727","309,0237711","307,9514947","312,4194758","307,5048876"
Amazonas,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"349,5694153","355,1989684","359,2200853","348,0503588","348,9439234","358,8626635","360,5604331","364,6708783","393,1763296","389,6913083","408,009833","399,5207085","397,6442001","401,307833","405,2397125","403,1844795","403,1844294","401,3079461"
Amazonas,1. Garimpo,1.1 Metálicas,1.1.02 Estanho,"165,5292285","177,2646443","235,498753","244,4102229","261,4392308","300,7912115","304,5851219","300,526424","301,320527","303,3498553","304,232187","303,6145505","303,3498481","304,5851228","304,6733485","306,702713","306,6144453","307,1438775"
Amazonas,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"1116,814314","1114,319753","1107,752201","1120,400023","1200,856546","1232,293661","1269,059732","1232,367431","1216,338645","1224,855462","1242,505766","1280,28956","1337,175586","1456,390788","1519,501876","1565,192142","1682,73903","1870,143272"
Amazonas,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"625,2073648","645,5647076","662,8873948","672,9774846","693,0678753","719,2305182","739,9461569","752,2695277","762,449772","774,7734888","809,9565402","832,9068526","855,2295391","876,6599102","885,0542093","884,6966516","888,0001562","900,9476412"
Bahia,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"51,09040602","52,2296377","54,59575271","55,55971664","65,37455201","67,47772761","66,68902883","67,30245701","67,03954874","67,56535558","67,82824982","67,21481893","66,68902209","66,6890193","66,07558266","66,77665952","66,95192395","66,86429432"
Bahia,2. Industrial,2.2 Metálicas,2.2.03 Níquel,,,,,"216,9391947","274,2742526","445,1514187","511,5067393","587,9227747","655,6649475","691,3139867","753,2457916","762,78695","765,8228202","769,205617","783,0834759","802,0789828","803,8138009"
Bahia,2. Industrial,2.2 Metálicas,2.2.07 Cromo,"748,4408408","753,2713012","751,8627641","752,8278853","754,4099716","758,7135817","759,7693765","762,9291586","771,1751559","774,3394239","774,7783147","771,7898758","772,4053228","773,7213621","775,474769","783,7201691","783,8955739","784,1583672"
