Local/Ano,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brasil,204512737,207156696,205886244,199752014,202306731,205307954,209541109,212815311,211279082,211764292,212366132,215220508,218190768,215003578,213809445,214689984
Rondônia,10671440,11349452,11484162,11007613,11176201,11532891,11842073,12182259,12218437,12329971,12744326,13397970,13682200,14091378,14367161,14349219
Acre,2062690,2313185,2452915,2315798,2425687,2511285,2578460,2549497,2634467,2697489,2799673,2916207,2998969,2895028,3303633,3509682
Amazonas,1156723,1197171,1243358,1208652,1312352,1350816,1360800,1439597,1445739,1470537,1405208,1293325,1315821,1343574,1376210,1455842
Roraima,459000,507000,508600,481100,476200,475380,577050,651511,686491,747045,735962,794783,780877,787318,817198,879007
Pará,17430496,18063669,17501678,15353989,16240697,16856561,17633339,18262547,18605051,19165028,19911217,20271618,20476783,20585367,20628651,20953429
Amapá,82243,96599,109081,103170,95803,104977,114773,127499,142825,154967,167529,89682,76379,66921,55422,54296
Tocantins,7924546,7961926,7760590,7395450,7392515,7605249,7994200,8025400,8082336,8140580,8062227,8412404,8652161,8738477,8352513,8480724
Maranhão,5928131,6448948,6613270,6609438,6816338,6885265,6979844,7264106,7490942,7611324,7758352,7643128,7653870,7687695,7793180,8008643
Piauí,1830613,1826833,1838378,1736520,1750910,1682111,1679957,1688024,1689926,1666107,1660099,1649549,1639856,1625006,1464196,1447817
Ceará,2269567,2299233,2352589,2424290,2460523,2494482,2546134,2614604,2714713,2591067,2597139,2516197,2426408,2287400,2403371,2479289
Rio Grande do Norte,942670,978494,1027289,1010238,1029240,1150028,1064575,1047797,858211,914777,972816,918952,840847,870000,863284,929451
Paraíba,1000199,1052613,1092792,1139322,1202363,1236276,1242579,1354268,967067,1048824,1145943,1170803,1187981,1202781,1240004,1293769
Pernambuco,1705401,1909468,2095184,2219892,2249788,2297366,2383268,2502156,1895642,1823230,1920075,1948357,1895185,1804876,1862181,1937165
Alagoas,893922,985422,1029352,1112125,1162005,1193021,1219578,1268304,1221266,1251723,1253121,1255696,1189985,1208404,1247619,1233394
Sergipe,929794,1005177,1067508,1073692,1080833,1120832,1117765,1178771,1156157,1223215,1218972,1231130,1196248,1067121,1039346,1052263
Bahia,10466163,10463098,10764857,11385723,11099880,10230469,10528419,10667903,10250975,10828409,10824134,10758372,10363291,10037814,9923931,10214863
Minas Gerais,21622779,21403680,22203154,22575194,22369639,22469791,22698120,23907915,23965914,24201256,23707042,23768959,23637803,21971713,21810311,22020979
Espírito Santo,1925596,2026690,2119309,2142342,2120017,2187235,2195406,2223262,2285345,2313445,2295624,2223531,2044771,1937604,1976903,2006027
Rio de Janeiro,2064763,2092748,2095666,2078529,2144882,2162043,2160727,2179671,2197615,2339978,2379648,2351451,2409718,2531239,2552587,2533164
Guanabara,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
São Paulo,13765873,13420780,12790383,11790564,11185556,11197605,11197697,11024796,10757383,10486750,10148423,10468135,11031408,11109523,10771635,10487012
Paraná,10278148,10153375,9764545,9494843,9585600,9562113,9411380,9475676,9413937,9395313,9181577,9314908,9487999,9370139,9275271,8972546
Santa Catarina,3263414,3376725,3460835,3488992,3884264,3976165,3985662,4039217,4072960,4201561,4285931,4382299,4499505,4302861,4296052,4452571
Rio Grande do Sul,14669713,14239906,13974827,13516426,14115643,14366298,14469307,14478312,14140654,14037367,13956953,13737316,13590282,13353122,12550379,11968216
Mato Grosso do Sul,24715372,24504098,23726290,21832001,22365219,22325663,22354077,21553851,21498382,21047274,21003830,21357398,21800990,21474693,20896700,19407908
Mato Grosso,25918998,26651500,26064332,25683031,26018216,27357089,28757438,29265718,28740802,28395205,28592183,29364042,30296096,29725378,30199598,31654882
Goiás,20419803,20726586,20646560,20471490,20466360,20874943,21347881,21744650,22045776,21580398,21538072,21887720,22919070,22835005,22651910,22823401
Distrito Federal,114680,102320,98740,101590,80000,102000,100600,98000,100069,101452,100056,96576,96265,93141,90199,84425
